date,adjustedclose
20230103,35950578.89
20230104,35950578.89
20230105,35950578.89
20230106,35950578.89
20230109,35950578.89
20230110,35950578.89
20230111,35950578.89
20230112,35950578.89
20230113,35950578.89
20230116,12913469.03
20230117,35950578.89
20230118,35950578.89
20230119,35950578.89
20230120,35950578.89
20230130,17589539.64
20230131,12913469.03
20230201,12913469.03
20230202,12913469.03
20230203,12913469.03
20230206,35950578.89
20230207,35950578.89
20230208,35950578.89
20230209,35950578.89
20230210,35950578.89
20230213,12913469.03
20230214,35950578.89
20230215,35950578.89
20230216,17589539.64
20230217,35950578.89
20230220,12913469.03
20230221,12913469.03
20230222,35950578.89
20230223,35950578.89
20230224,35950578.89
20230227,35950578.89
20230228,35950578.89
20230301,12913469.03
20230302,17589539.64
20230303,17589539.64
20230306,17589539.64
20230307,17589539.64
20230308,35950578.89
20230309,35950578.89
20230310,35950578.89
20230313,29022345.63
